2025-11-01 20:55:37.581 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog - MLog clients using slf4j logging.
2025-11-01 20:55:37.809 [main] INFO  com.mchange.v2.c3p0.C3P0Registry - Initializing c3p0-0.9.5.4 [built 23-March-2019 23:00:48 -0700; debug? true; trace: 10]
2025-11-01 20:55:38.062 [main] INFO  c.t.scheduler.QuartzTableManager - Checking Quartz tables...
2025-11-01 20:55:38.087 [main] INFO  c.t.scheduler.QuartzTableManager - All Quartz tables exist
2025-11-01 20:55:38.096 [main] INFO  c.t.s.MultiAppSchedulerManager - Quartz tables initialized
2025-11-01 20:55:38.104 [main] INFO  c.t.s.MultiAppSchedulerManager - MultiAppSchedulerManager initialized with shared Quartz scheduler
2025-11-01 20:55:38.232 [main] INFO  c.t.scheduler.AppJobHistoryTracker - Job history table 'sms_job_execution_history' ensured to exist for app 'sms'
2025-11-01 20:55:38.233 [main] INFO  c.t.scheduler.InfiniteAppScheduler - InfiniteAppScheduler created for app 'sms' with table prefix 'sms_scheduled_jobs' and history table 'sms_job_execution_history'
2025-11-01 20:55:38.234 [main] INFO  c.t.s.handler.JobHandlerRegistry - Registered job handler for app 'sms': SmsJobHandler
2025-11-01 20:55:38.234 [main] INFO  c.t.s.MultiAppSchedulerManager - Registered app 'sms' with handler SmsJobHandler
2025-11-01 20:55:38.234 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - ✅ Registered SMS application → Console output: sms-notifications
2025-11-01 20:55:38.259 [main] INFO  c.t.scheduler.AppJobHistoryTracker - Job history table 'sipcall_job_execution_history' ensured to exist for app 'sipcall'
2025-11-01 20:55:38.260 [main] INFO  c.t.scheduler.InfiniteAppScheduler - InfiniteAppScheduler created for app 'sipcall' with table prefix 'sipcall_scheduled_jobs' and history table 'sipcall_job_execution_history'
2025-11-01 20:55:38.260 [main] INFO  c.t.s.handler.JobHandlerRegistry - Registered job handler for app 'sipcall': SipCallJobHandler
2025-11-01 20:55:38.260 [main] INFO  c.t.s.MultiAppSchedulerManager - Registered app 'sipcall' with handler SipCallJobHandler
2025-11-01 20:55:38.260 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - ✅ Registered SIPCall application → Console output: sipcall-queue
2025-11-01 20:55:38.280 [main] INFO  c.t.scheduler.AppJobHistoryTracker - Job history table 'payment_gateway_job_execution_history' ensured to exist for app 'payment_gateway'
2025-11-01 20:55:38.280 [main] INFO  c.t.scheduler.InfiniteAppScheduler - InfiniteAppScheduler created for app 'payment_gateway' with table prefix 'payment_gateway_scheduled_jobs' and history table 'payment_gateway_job_execution_history'
2025-11-01 20:55:38.280 [main] INFO  c.t.s.handler.JobHandlerRegistry - Registered job handler for app 'payment_gateway': PaymentGatewayJobHandler
2025-11-01 20:55:38.280 [main] INFO  c.t.s.MultiAppSchedulerManager - Registered app 'payment_gateway' with handler PaymentGatewayJobHandler
2025-11-01 20:55:38.280 [main] INFO  c.t.s.e.MultiAppSchedulerWithUI - ✅ Registered Payment Gateway application → Console output: payment-transactions
2025-11-01 20:55:38.379 [main] INFO  io.javalin.Javalin - Starting Javalin ...
2025-11-01 20:55:38.471 [main] INFO  org.eclipse.jetty.server.Server - jetty-11.0.17; built: 2023-10-09T18:39:14.424Z; git: 48e7716b9462bebea6732b885dbebb4300787a5c; jvm 21.0.5+11-LTS
2025-11-01 20:55:38.483 [main] ERROR io.javalin.Javalin - Failed to start Javalin
